percent_corr,time_normal,time_interfere,when,download
95,819.78 ms,984.11 ms,12 hours ago,"Mon, 8:11 AM"
94.44,602.49 ms,912.50 ms,13 hours ago,"Mon, 8:11 AM"
95,"1,533.82 ms","1,355.70 ms",15 hours ago,"Mon, 8:11 AM"
95.65,702.62 ms,940.60 ms,15 hours ago,"Mon, 8:11 AM"
80,"1,027.87 ms","1,115.15 ms",15 hours ago,"Mon, 8:11 AM"
96.15,850.30 ms,"1,100.35 ms",15 hours ago,"Mon, 8:11 AM"
92.61,"1,171.76 ms","1,803.18 ms",12 minutes ago,"Mon, 5:41 PM"
95,589.18 ms,815.81 ms,27 minutes ago,"Mon, 5:41 PM"
85,991.66 ms,"1,027.56 ms",28 minutes ago,"Mon, 5:41 PM"
95.24,557.79 ms,751.03 ms,1 hour ago,"Mon, 5:41 PM"
95.24,657.65 ms,863.14 ms,1 hour ago,"Mon, 5:41 PM"
95.83,652.10 ms,798.77 ms,1 hour ago,"Mon, 5:41 PM"
90.91,601.32 ms,904.31 ms,1 hour ago,"Mon, 5:41 PM"
90,743.51 ms,"1,033.64 ms",1 hour ago,"Mon, 5:41 PM"
85,"1,187.16 ms",941.56 ms,1 hour ago,"Mon, 5:41 PM"
99.17,798.10 ms,983.88 ms,1 hour ago,"Mon, 5:41 PM"
95,"1,015.98 ms","1,208.86 ms",1 hour ago,"Mon, 5:41 PM"
95.08,840.69 ms,"1,016.29 ms",1 hour ago,"Mon, 5:41 PM"
100,771.31 ms,"1,200.95 ms",1 hour ago,"Mon, 5:41 PM"
100,"1,120.63 ms","1,577.91 ms",2 hours ago,"Mon, 5:41 PM"
93.33,979.66 ms,"1,215.69 ms",2 hours ago,"Mon, 5:41 PM"
91.17,696.73 ms,865.68 ms,3 hours ago,"Mon, 5:41 PM"
100,725.36 ms,"1,690.27 ms",3 hours ago,"Mon, 5:41 PM"
95.08,635.51 ms,970.29 ms,5 hours ago,"Mon, 5:41 PM"
90.48,865.55 ms,"1,197.50 ms",5 hours ago,"Mon, 5:41 PM"
100,"1,447.15 ms","1,625.40 ms",7 hours ago,"Tues, 7:45 AM"
100,"1,056.56 ms","1,292.90 ms",7 hours ago,"Tues, 7:45 AM"
72.73,"1,079.50 ms","1,271.86 ms",8 hours ago,"Tues, 7:45 AM"
90,771.05 ms,"1,049.40 ms",8 hours ago,"Tues, 7:45 AM"
95,"1,364.99 ms","1,465.12 ms",8 hours ago,"Tues, 7:45 AM"
95.45,763.63 ms,958.63 ms,8 hours ago,"Tues, 7:45 AM"
