,fruit,fruit,fruit,sport,sport,sport,bird,bird,bird,vehicle,vehicle,vehicle,crime,crime,crime,vegetable,vegetable,vegetable
Timestamp,apple,fig,strawberry,football,hockey,wrestling,ostrich,wren,robin,boat,tricycle,car,embezzling,murder,vagrancy,parsley,carrot,onion
5/1/2016 23:15:14,1,4,1,1,2,3,4,2,2,2,4,1,3,1,7,1,1,1
5/1/2016 23:34:43,1,3,1,1,1,1,1,3,1,1,3,1,3,1,3,4,1,2
5/2/2016 0:33:55,1,6,1,1,2,3,3,5,1,3,5,1,6,1,7,3,1,2
5/2/2016 1:34:52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/2/2016 13:23:40,1,3,1,1,5,5,2,2,1,2,4,1,2,1,4,3,1,3
5/2/2016 16:58:55,2,6,2,1,2,4,5,3,3,2,4,2,2,2,4,6,2,6
5/2/2016 19:45:03,1,4,1,1,2,3,5,4,1,6,5,1,4,1,3,7,4,2
5/2/2016 20:56:33,1,2,2,6,6,6,6,6,1,1,1,1,6,7,7,2,6,6
5/2/2016 21:03:32,1,2,1,1,1,1,1,2,1,4,5,1,3,1,4,3,1,1
5/2/2016 21:57:05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
5/2/2016 23:39:34,1,3,2,1,2,3,2,3,1,2,3,1,2,1,3,3,1,2
5/3/2016 0:55:19,1,4,2,2,2,1,4,2,1,3,5,1,2,1,5,4,1,3
5/3/2016 1:24:27,1,3,1,1,2,2,2,2,1,2,4,1,1,1,7,1,1,1
5/3/2016 7:36:57,1,3,2,3,3,3,5,5,3,3,3,1,3,1,5,3,1,5
5/3/2016 8:03:53,1,3,1,1,4,4,6,6,1,1,5,1,6,1,6,5,2,3
5/3/2016 11:02:27,1,1,2,1,1,1,1,1,1,1,3,1,1,1,4,1,1,1
5/3/2016 11:27:30,2,6,1,1,2,5,6,7,2,3,4,1,4,1,7,4,2,4
5/3/2016 12:28:28,1,3,1,1,1,3,5,7,1,4,7,1,4,1,7,5,1,1
5/3/2016 13:41:18,1,5,1,1,1,2,4,6,2,4,6,1,3,1,5,2,1,1
5/3/2016 14:12:01,1,3,1,1,1,2,3,1,1,1,4,1,1,1,4,6,1,2
5/3/2016 14:50:30,1,3,1,1,1,1,2,3,1,2,3,1,2,1,4,4,1,1
5/3/2016 15:22:52,1,3,1,1,1,3,1,1,1,1,5,1,1,1,6,1,1,1
5/3/2016 15:57:19,1,2,1,1,1,1,1,2,1,1,1,1,1,1,7,4,1,1
5/3/2016 16:07:53,1,4,3,1,1,5,6,1,1,4,3,1,2,1,7,7,1,2
5/3/2016 16:35:14,1,4,1,1,1,1,3,4,2,2,2,1,5,1,4,2,1,1
5/3/2016 16:54:40,1,5,1,1,3,4,3,6,1,1,4,1,1,1,7,6,1,1
5/3/2016 17:04:15,1,5,1,2,3,3,2,7,2,1,6,1,3,1,7,5,3,4
5/3/2016 18:03:24,1,6,1,1,2,3,1,6,6,5,5,1,6,1,6,2,3,4
5/3/2016 19:05:03,1,5,2,1,3,4,3,1,1,4,6,1,2,1,3,3,1,1
5/3/2016 19:20:56,1,4,1,1,1,1,4,1,1,3,5,1,1,1,1,1,1,1
5/3/2016 19:39:57,2,5,4,2,7,5,6,4,3,5,7,1,4,1,6,5,1,2
5/3/2016 20:09:06,1,4,1,1,1,2,2,1,1,2,2,1,3,1,5,4,1,1
5/3/2016 21:00:29,1,4,1,1,1,2,1,4,1,1,4,1,1,1,6,5,1,1
5/3/2016 21:32:48,1,1,1,1,1,1,5,1,1,3,6,1,4,1,3,4,1,1
5/3/2016 21:47:07,1,1,1,1,2,1,3,2,1,2,3,1,1,1,2,2,1,1
5/3/2016 22:15:53,1,5,1,1,2,3,4,5,1,2,6,1,1,1,7,6,1,1
5/3/2016 22:22:49,1,4,2,1,2,3,3,4,1,3,5,1,2,1,5,4,1,3
5/3/2016 22:24:47,1,3,1,1,2,3,3,2,1,3,4,1,1,1,3,3,2,4
5/3/2016 23:04:37,1,3,1,1,1,1,3,3,1,4,3,1,2,1,5,5,1,5
5/3/2016 23:22:22,1,6,3,1,3,4,6,7,1,6,7,1,5,1,7,7,3,6
5/3/2016 23:23:18,1,1,1,1,1,1,1,1,1,3,3,1,3,1,4,7,1,3
5/3/2016 23:37:54,1,1,1,1,1,1,2,2,1,2,3,1,1,1,1,1,1,1
5/3/2016 23:48:19,1,6,2,1,5,5,5,4,2,6,7,1,6,1,7,7,2,5
5/3/2016 23:49:46,1,4,1,1,1,1,1,1,1,1,6,1,1,1,2,3,1,1
5/4/2016 0:18:37,1,5,3,1,1,3,3,6,2,6,6,1,6,1,7,5,1,1
5/4/2016 0:20:54,1,4,2,1,2,4,5,3,1,3,5,1,3,1,5,4,2,4
5/4/2016 0:29:02,1,3,2,1,3,5,6,2,3,1,3,1,3,1,6,6,2,3
5/4/2016 0:47:46,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1
5/4/2016 0:48:40,1,5,1,1,2,2,2,2,2,4,6,1,1,1,7,5,1,4
5/4/2016 0:49:56,1,3,3,1,3,3,4,5,1,2,5,1,3,1,5,5,1,5
5/4/2016 1:03:02,1,3,1,1,2,3,1,5,3,2,3,1,3,1,5,5,1,3
5/4/2016 1:04:13,1,5,2,1,4,3,6,4,1,5,7,1,4,1,6,4,2,3
5/4/2016 1:05:30,1,3,2,1,1,3,3,2,1,2,3,1,2,1,2,3,1,1
5/4/2016 1:19:12,1,5,1,1,1,5,5,2,2,3,6,2,5,2,7,5,2,3
5/4/2016 1:23:15,1,4,1,1,1,2,1,2,1,2,4,1,1,1,2,1,1,1
5/4/2016 1:38:44,1,3,2,1,3,5,5,6,1,4,6,1,4,1,7,6,2,4
5/4/2016 2:32:05,1,4,1,1,5,5,6,6,1,6,7,1,6,1,6,7,1,5
5/4/2016 3:02:41,1,2,1,1,1,1,3,1,1,2,3,1,2,1,5,5,1,3
5/4/2016 3:11:56,1,5,1,1,1,1,1,3,1,5,7,1,4,1,5,4,1,1
5/4/2016 4:02:15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/4/2016 4:33:07,7,4,6,7,6,5,3,7,7,3,4,7,5,7,3,4,7,4
5/4/2016 6:25:02,2,3,1,1,3,5,2,3,1,3,6,1,2,1,4,3,1,2
5/4/2016 8:27:43,2,3,2,2,2,3,3,2,2,2,3,2,2,1,7,3,2,2
5/4/2016 11:45:37,2,6,2,2,3,4,2,5,1,4,5,1,2,1,4,5,1,2
5/5/2016 15:50:24,1,4,2,1,1,1,3,1,1,5,5,1,2,1,4,5,1,1
5/4/2017 12:05:05,1,7,1,1,1,1,1,7,1,2,2,1,1,1,1,1,1,1
